	class_count	expression_avg	happy_avg	stu_count	tea_id	tags
544	18	188.2222222	0.079463637	10	33952698	[]
546	6	150.6666667	0.037213803	5	2519128	[]
548	11	236.2727273	0.109472764	6	35261653	[]
551	23	183.3043478	0.109616581	8	31010667	[]
553	11	306.9090909	0.090378849	7	13217104	[]
554	18	214.1666667	0.080671008	7	7765640	[]
556	18	223.8333333	0.088560642	8	29876236	[]
557	8	220.125	0.047496597	6	34210367	[]
558	12	196.75	0.147725295	8	38863908	[]
560	9	280.8888889	0.041648052	5	1165837	[]
562	17	278.4117647	0.051654182	5	4439509	[]
563	12	254.8333333	0.04263589	6	6188003	[]
564	19	342.6842105	0.097296406	14	24047083	[]
565	12	183.0833333	0.036328487	5	7791209	[]
567	8	251.625	0.050860127	6	17841988	[]
569	13	210.1538462	0.076071112	6	11906269	[]
571	11	326.0909091	0.076355191	9	28603970	[]
573	11	280.7272727	0.067421852	9	37134478	[]
575	18	264.4444444	0.128565868	11	35956182	[]
576	29	306.1724138	0.095960633	12	13001492	[]
578	27	248.2962963	0.03946503	10	15284438	[]
579	13	242.6153846	0.088418415	6	33584167	[]
580	13	123.2307692	0.064603843	9	7335861	['enhance_expression']
582	22	291.2272727	0.10607878	12	8441068	[]
586	27	222.2592593	0.051549834	7	13900355	[]
588	34	301.5588235	0.053429564	27	8524156	[]
589	16	263.1875	0.069611081	9	10489044	[]
590	15	194.4666667	0.102970797	6	16314960	[]
591	8	315	0.165271532	4	26802298	[]
593	14	314.5	0.052644152	7	29323259	[]
594	18	226.5	0.043300641	10	34264510	[]
595	11	225.6363636	0.035533079	6	17308460	[]
596	9	139.7777778	0.056540973	6	36612988	[]
598	18	354.5	0.093586476	10	33654218	[]
600	15	279.2	0.08068871	11	31745610	[]
602	12	193.0833333	0.119172459	9	29816148	[]
603	25	219.44	0.053123137	9	10842006	[]
604	8	187.375	0.069427535	6	9777701	[]
605	15	253.2	0.07502446	7	28302771	[]
609	34	283.2058824	0.041073992	19	35337356	[]
610	10	254.5	0.071533238	6	19519826	[]
611	50	176.26	0.077301032	26	31288764	[]
